0,1,0,0,0,0,0,0
1,0.625,0.3125,0.0625,0,0,0,0
2,0.546875,0.328125,0.109375,0.015625,0,0,0
3,0.492188,0.328125,0.140625,0.0351562,0.00390625,0,0
4,0.451172,0.322266,0.161133,0.0537109,0.0107422,0.000976562,0
5,0.418945,0.314209,0.174561,0.0698242,0.019043,0.00317383,0.000244141
6,0.392761,0.305481,0.183289,0.083313,0.027771,0.00640869,0.000976562
7,0.370941,0.296753,0.188843,0.0944214,0.0363159,0.0103912,0.00233459
8,0.352394,0.288322,0.192215,0.1035,0.0443611,0.0148582,0.00434875
9,0.336376,0.280313,0.194063,0.110894,0.0517702,0.0196066,0.00697613
10,0.322361,0.272767,0.194834,0.116905,0.0585103,0.0244899,0.0101337
11,0.309962,0.265682,0.194835,0.121789,0.064604,0.029406,0.0137228
12,0.298892,0.25904,0.194285,0.125754,0.0701007,0.0342847,0.0176436
13,0.288929,0.252814,0.193341,0.128973,0.07506,0.0390784,0.0218038
14,0.2799,0.246975,0.192117,0.131587,0.079543,0.0437552,0.0261225
15,0.271669,0.241492,0.190699,0.133709,0.083607,0.0482939,0.0305306
16,0.264125,0.236338,0.18915,0.135431,0.0873041,0.0526814,0.0349715
17,0.257178,0.231488,0.187517,0.136829,0.0906801,0.0569096,0.0393989
18,0.250755,0.226917,0.185838,0.137964,0.0937747,0.0609746,0.0437766
19,0.244796,0.222607,0.184139,0.138885,0.0966219,0.0648751,0.0480761
20,0.239249,0.218537,0.182443,0.139633,0.099251,0.0686121,0.0522758
21,0.234071,0.214691,0.180764,0.14024,0.101687,0.0721877,0.0563599
22,0.229226,0.211054,0.179115,0.140732,0.10395,0.0756055,0.0603169
23,0.224683,0.207612,0.177504,0.141132,0.10606,0.0788695,0.064139
24,0.220415,0.204353,0.175938,0.141457,0.10803,0.0819844,0.0678216
25,0.2164,0.201265,0.174422,0.141721,0.109876,0.0849552,0.0713623
26,0.212616,0.198338,0.172957,0.141935,0.111607,0.0877871,0.0747605
27,0.209046,0.195562,0.171547,0.142108,0.113234,0.0904854,0.0780172
28,0.205675,0.192929,0.170191,0.142249,0.114765,0.0930554,0.0811342
29,0.202489,0.190431,0.16889,0.142364,0.116209,0.0955026,0.0841145
30,0.199474,0.18806,0.167644,0.142457,0.117571,0.0978321,0.0869615
31,0.196621,0.18581,0.166451,0.142532,0.118858,0.100049,0.0896792
32,0.193918,0.183673,0.165311,0.142593,0.120074,0.102159,0.0922717
33,0.191357,0.181644,0.164222,0.142643,0.121225,0.104166,0.0947435
34,0.188929,0.179717,0.163183,0.142683,0.122315,0.106075,0.0970991
35,0.186626,0.177886,0.162191,0.142716,0.123347,0.107891,0.0993431
36,0.184441,0.176147,0.161246,0.142743,0.124325,0.109618,0.10148
37,0.182367,0.174495,0.160346,0.142764,0.125253,0.11126,0.103515
38,0.180399,0.172926,0.159488,0.142782,0.126132,0.112822,0.105451
39,0.178531,0.171435,0.158671,0.142796,0.126967,0.114307,0.107294
40,0.176757,0.170018,0.157893,0.142807,0.127759,0.115719,0.109047
41,0.175072,0.168671,0.157153,0.142817,0.128511,0.117061,0.110715
42,0.173472,0.167392,0.156448,0.142824,0.129225,0.118337,0.112301
43,0.171952,0.166176,0.155778,0.142831,0.129903,0.11955,0.11381
44,0.170508,0.165021,0.155141,0.142836,0.130547,0.120703,0.115245
45,0.169136,0.163922,0.154534,0.14284,0.131158,0.1218,0.11661
46,0.167833,0.162879,0.153958,0.142843,0.131739,0.122842,0.117907
47,0.166594,0.161887,0.153409,0.142846,0.132291,0.123832,0.119141
48,0.165417,0.160944,0.152888,0.142848,0.132815,0.124774,0.120314
49,0.164299,0.160049,0.152392,0.14285,0.133313,0.125669,0.121429
50,0.163237,0.159197,0.15192,0.142851,0.133786,0.12652,0.122489
51,0.162227,0.158388,0.151472,0.142852,0.134236,0.127329,0.123497
52,0.161267,0.157619,0.151046,0.142853,0.134663,0.128097,0.124455
53,0.160355,0.156888,0.150641,0.142854,0.135069,0.128828,0.125365
54,0.159488,0.156193,0.150256,0.142854,0.135455,0.129523,0.126231
55,0.158664,0.155532,0.14989,0.142855,0.135822,0.130183,0.127054
56,0.157881,0.154905,0.149542,0.142855,0.13617,0.13081,0.127836
57,0.157137,0.154308,0.149211,0.142856,0.136502,0.131407,0.12858
58,0.15643,0.153741,0.148896,0.142856,0.136816,0.131974,0.129287
59,0.155758,0.153202,0.148597,0.142856,0.137116,0.132513,0.129958
60,0.155119,0.15269,0.148313,0.142856,0.1374,0.133025,0.130597
